Year,NGDP_RPCH,PCPIPCH,BCA_NGDPD,exp
1861,,,,6.6037697792053
1862,,,,6.4389400482178
1863,,,,6.208270072937
1864,,,,6.4784898757935
1865,,,,6.156690120697
1866,,,,5.5460200309753
1867,,,,5.9836797714233
1868,,,,6.9969100952148
1869,,,,5.9784798622131
1870,,,,6.2597599029541
1871,,,,6.4393301010132
1872,,,,5.9753098487854
1873,,,,6.6448302268982
1874,,,,5.8818302154541
1875,,,,7.0276999473572
1876,,,,7.2426099777222
1877,,,,6.3924999237061
1878,,,,5.5330100059509
1879,,,,6.2465500831604
1880,,,,7.342679977417
1881,,,,7.337329864502
1882,,,,7.3445901870728
1883,,,,8.1330795288086
1884,,,,7.1538100242615
1885,,,,7.3470001220703
1886,,,,6.8822798728943
1887,,,,7.480269908905
1888,,,,8.1184701919556
1889,,,,6.3888502120972
1890,,,,6.8685097694397
1891,,,,6.8697500228882
1892,,,,5.9696102142334
1893,,,,6.0223698616028
1894,,,,6.2203302383423
1895,,,,6.5594401359558
1896,,,,6.9980001449585
1897,,,,5.9988098144531
1898,,,,6.2795600891113
1899,,,,6.7986302375793
1900,,,,7.1840801239014
1901,,,,6.3231601715088
1902,,,,6.428530216217
1903,,,,7.2044200897217
1904,,,,6.646999835968
1905,,,,7.3135199546814
1906,,,,5.7825398445129
1907,,,,5.9613499641418
1908,,,,5.8546299934387
1909,,,,5.3225798606873
1910,,,,5.9580898284912
1911,,,,5.4161500930786
1912,,,,5.4692997932434
1913,,,,5.5618000030518
1914,,,,5.0388898849487
1915,,,,4.756609916687
1916,,,,4.6300401687622
1917,,,,11.18630027771
1918,,,,5.2801098823547
1919,,,,5.3955798149109
1920,,,,6.4336400032043
1921,,,,4.6160402297974
1922,,,,4.5115900039673
1923,,,,4.7135400772095
1924,,,,4.0503997802734
1925,,,,4.3278098106384
1926,,,,4.5111699104309
1927,,,,4.5344200134277
1928,,,,4.485239982605
1929,,,,4.7432699203491
1930,,,,5.5378499031067
1931,,,,5.8183999061584
1932,,,,5.3116102218628
1933,,,,5.3487501144409
1934,,,,5.2947001457214
1935,,,,5.5901899337769
1936,,,,5.2570700645447
1937,,,,5.0106101036072
1938,,,,4.9798002243042
1939,,,,4.7877497673035
1940,,,,5.3296699523926
1941,,,,5.0843901634216
1942,,,,8.1068601608276
1943,,,,7.6321001052856
1944,,,,8.7930603027344
1945,,,,13.591500282288
1946,,,,11.054800033569
1947,,,,6.6576499938965
1948,,,,6.1568899154663
1949,,,,5.5288901329041
1950,,,,5.3126001358032
1951,,,,5.545599937439
1952,,,,6.3040800094604
1953,,,,6.6816301345825
1954,,,,7.854640007019
1955,,,,8.1904602050781
1956,,,,8.5262699127197
1957,,,,9.7316703796387
1958,,,,11.964200019836
1959,,,,12.180700302124
1960,,,,11.233300209045
1961,,,,11.781299591064
1962,,,,11.475700378418
1963,,,,12.328300476074
1964,,,,13.241900444031
1965,,,,13.709199905396
1966,,,,13.816599845886
1967,,,,13.805500030518
1968,,,,12.592900276184
1969,,,,11.529700279236
1970,,,,11.72200012207
1971,,,,12.378800392151
1972,,,,13.468400001526
1973,,,,12.917099952698
1974,,,,11.337200164795
1975,,,,12.679900169373
1976,,,,14.445799827576
1977,,,,13.940999984741
1978,,,,15.013799667358
1979,,,,15.560000419617
1980,5.3,11.3,-1.5,17.47979927063
1981,6.0,12.7,-1.6,16.618299484253
1982,3.5,7.7,-1.7,17.754600524902
1983,7.3,12.6,-1.4,17.83390045166
1984,3.8,6.5,-1.1,19.805000305176
1985,5.3,6.3,-2.0,21.556999206543
1986,4.8,8.9,-1.8,23.228099822998
1987,4.0,9.1,-1.7,22.519800186157
1988,9.6,7.2,-2.4,24.457341814024
1989,5.9,4.6,-2.0,25.233997575316
1990,5.5,11.2,-2.9,25.371497542785
1991,1.1,13.5,-0.4,26.801478545987
1992,5.5,9.9,-1.7,26.229261923729
1993,4.8,7.3,-0.4,25.742052383607
1994,6.7,10.3,-1.0,25.756252887561
1995,7.6,10.0,-1.6,24.5493851348
1996,7.5,9.4,-1.1,23.94404158394
1997,4.0,6.8,-1.3,24.796372993614
1998,6.2,13.1,-0.9,25.585717758586
1999,8.5,5.7,-1.0,25.404228382832
2000,4.0,3.8,-0.6,25.63605208362
2001,4.9,4.3,0.7,27.788379080264
2002,3.9,4.0,1.2,28.613299001782
2003,7.9,3.9,2.3,29.425738081432
2004,7.8,3.8,-0.3,27.959200094281
2005,9.3,4.4,-1.2,26.430717724196
2006,9.3,6.7,-1.0,26.65855379958
2007,9.8,6.2,-1.3,26.46690463623
2008,3.9,9.1,-2.3,28.690039360149
2009,8.5,12.3,-2.8,28.052056012585
2010,10.3,10.5,-2.8,27.447291537129
2011,6.6,9.5,-4.3,27.640581685902
2012,5.5,10.0,-4.8,27.363855024281
2013,6.4,9.4,-1.7,26.599948101753
2014,7.4,5.8,-1.3,26.220442077132
2015,8.0,4.9,-1.0,27.058974489303
2016,8.3,4.5,-0.6,27.232843544593
2017,6.8,3.6,-1.8,26.231662594119
2018,6.5,3.4,-2.1,26.327665031804
2019,3.9,4.8,-0.9,27.422790685859
2020,-5.8,6.2,0.9,31.052287779499
2021,9.1,5.5,-1.2,30.136706393197
2022,7.2,6.7,-2.0,
2023,6.3,5.5,-1.8,
2024,6.3,4.6,-1.8,
2025,6.3,4.1,-1.9,
2026,6.3,4.1,-2.0,
2027,6.3,4.0,-2.1,
2028,6.3,4.0,-2.3,
